Round,Case,LocalTargetX,LocalTargetY,LocalTargetZ,HeadX,HeadY,HeadZ,TargetX,TargetY,TargetZ
1,1,0.4402891,1.167942,0.5988325,0.08104835,1.205812,0.09299543,0.4402891,1.167942,0.5988325
1,2,-0.0762338,1.372928,0.4076902,-0.02184241,1.206738,-0.03413327,-0.0762338,1.372928,0.4076902
1,3,-0.2218185,1.265912,0.3992808,-0.05622955,1.193364,-0.02153079,-0.2218185,1.265912,0.3992808
1,4,-0.1452392,1.129683,0.3042244,-0.03387672,1.174463,-0.02977933,-0.1452392,1.129683,0.3042244
1,5,-0.08722243,1.132086,0.375692,-0.02244855,1.174747,-0.02818618,-0.08722243,1.132086,0.375692
1,6,0.3725604,0.7289941,0.5926225,0.08692278,1.149309,0.1235716,0.3725604,0.7289941,0.5926225
1,7,-0.2875907,1.099772,0.5238144,-0.06854731,1.176238,0.002016699,-0.2875907,1.099772,0.5238144
1,8,-0.1474479,1.447245,0.3991898,-0.05314843,1.217115,-0.02216378,-0.1474479,1.447245,0.3991898
1,9,0.206211,1.388122,0.4240211,0.03263609,1.201816,0.007944219,0.206211,1.388122,0.4240211
1,10,0.1638628,0.7227856,0.4404039,0.01509646,1.14963,-0.01560227,0.1638628,0.7227856,0.4404039
1,11,-0.3680323,0.5333003,0.5828893,-0.2443936,1.064524,0.2313549,-0.3680323,0.5333003,0.5828893
1,12,0.4750035,1.493249,0.3380581,0.07553302,1.226178,-0.002138637,0.4750035,1.493249,0.3380581
1,13,0.3045214,1.399484,0.3383879,0.03437566,1.211718,-0.07473467,0.3045214,1.399484,0.3383879
1,14,-0.007032722,0.5701539,0.5418833,-0.06319273,1.112671,0.1570415,-0.007032722,0.5701539,0.5418833
1,15,0.161665,0.6840487,0.5642155,0.0147597,1.146465,0.08950806,0.161665,0.6840487,0.5642155
1,16,-0.4522226,0.7653338,0.5966504,-0.2250315,1.129144,0.1595585,-0.4522226,0.7653338,0.5966504
1,17,-0.4907963,0.8609816,0.314939,-0.1794829,1.135722,0.03060149,-0.4907963,0.8609816,0.314939
1,18,0.2559428,1.016933,0.3818157,0.02495809,1.155516,-0.01776592,0.2559428,1.016933,0.3818157
1,19,0.1077897,0.5971251,0.3497987,-0.002467554,1.092079,0.05990714,0.1077897,0.5971251,0.3497987
1,20,-0.3906442,0.7175632,0.3733396,-0.1728475,1.117941,0.03352075,-0.3906442,0.7175632,0.3733396
1,21,0.3329806,1.0783,0.4249188,0.0254975,1.16204,-0.03249625,0.3329806,1.0783,0.4249188
1,22,-0.1871914,1.386673,0.4968204,-0.09461328,1.20162,-0.04623948,-0.1871914,1.386673,0.4968204
1,23,-0.3899212,1.272979,0.5358777,-0.1696138,1.194208,0.005051335,-0.3899212,1.272979,0.5358777
1,24,-0.149147,1.074363,0.3781196,-0.06098025,1.16677,-0.02776515,-0.149147,1.074363,0.3781196
1,25,-0.2700936,0.5693656,0.4164378,-0.170708,1.113096,0.07248641,-0.2700936,0.5693656,0.4164378
1,26,0.4841394,1.241598,0.3074417,0.03929512,1.184763,-0.05284744,0.4841394,1.241598,0.3074417
1,27,-0.3007728,1.305201,0.4780661,-0.1143496,1.182695,-0.005547617,-0.3007728,1.305201,0.4780661
1,28,0.002113819,1.255034,0.4560962,-0.02120278,1.17915,-0.02847262,0.002113819,1.255034,0.4560962
1,29,0.2777256,1.020146,0.47372,0.01328149,1.165679,-0.01551785,0.2777256,1.020146,0.47372
1,30,-0.3995111,1.225024,0.4720702,-0.1511245,1.191192,-0.001314429,-0.3995111,1.225024,0.4720702
