Round,Case,LocalTargetX,LocalTargetY,LocalTargetZ,HeadX,HeadY,HeadZ,TargetX,TargetY,TargetZ
1,1,0.2107499,0.7359442,0.5850509,0.01878038,1.201084,0.01649918,0.2107499,0.7359442,0.5850509
1,2,0.4615683,1.33743,0.4448441,0.04236685,1.258089,-0.04742048,0.4615683,1.33743,0.4448441
1,3,0.2529869,1.107927,0.5629221,0.02858748,1.23664,-0.01336254,0.2529869,1.107927,0.5629221
1,4,-0.3492922,1.036322,0.4089971,-0.07267763,1.224687,-0.003860642,-0.3492922,1.036322,0.4089971
1,5,0.4042692,1.378779,0.516633,0.04985347,1.263764,-0.03682468,0.4042692,1.378779,0.516633
1,6,0.09954327,1.084316,0.5114007,0.00281395,1.21905,0.01839246,0.09954327,1.084316,0.5114007
1,7,0.3431537,1.001337,0.3692381,0.05161533,1.206911,-0.004510812,0.3431537,1.001337,0.3692381
1,8,-0.1152297,0.5584435,0.5032274,-0.07172537,1.165658,0.08519283,-0.1152297,0.5584435,0.5032274
1,9,-0.2535335,1.363738,0.5189685,-0.1090814,1.268929,-0.02310706,-0.2535335,1.363738,0.5189685
1,10,-0.0630554,1.315267,0.5862328,-0.04344939,1.26791,-0.02329702,-0.0630554,1.315267,0.5862328
1,11,-0.472138,0.654868,0.4810711,-0.1964588,1.193431,0.04120304,-0.472138,0.654868,0.4810711
1,12,-0.4422997,0.6852738,0.4004635,-0.2021215,1.189996,0.03745985,-0.4422997,0.6852738,0.4004635
1,13,0.3378531,0.7698241,0.3725248,0.05893806,1.199261,-0.0131012,0.3378531,0.7698241,0.3725248
1,14,-0.3103367,0.9254273,0.5361055,-0.09506234,1.222886,0.00897979,-0.3103367,0.9254273,0.5361055
1,15,0.01593989,1.295717,0.4917149,-0.01637625,1.259885,-0.01203246,0.01593989,1.295717,0.4917149
1,16,0.2514789,1.286756,0.5179528,0.01609416,1.253776,-0.02327867,0.2514789,1.286756,0.5179528
1,17,0.1233867,0.9053375,0.5729421,-0.006713741,1.210136,0.01252767,0.1233867,0.9053375,0.5729421
1,18,-0.2673966,1.461316,0.3054527,-0.08723773,1.282105,-0.07518218,-0.2673966,1.461316,0.3054527
1,19,0.08246082,1.377821,0.4605362,-0.0268731,1.26596,-0.06368685,0.08246082,1.377821,0.4605362
1,20,-0.08358276,0.7882801,0.4950674,-0.06071719,1.183849,0.0205383,-0.08358276,0.7882801,0.4950674
1,21,-0.4646426,1.22495,0.364782,-0.158286,1.249468,-0.06471092,-0.4646426,1.22495,0.364782
1,22,0.3662163,0.6412992,0.5717999,0.1218499,1.171115,0.0927702,0.3662163,0.6412992,0.5717999
1,23,0.1255156,0.68011,0.5634294,0.02411592,1.16355,0.1265897,0.1255156,0.68011,0.5634294
1,24,-0.3032199,0.7505372,0.5992013,-0.1601709,1.195284,0.08360744,-0.3032199,0.7505372,0.5992013
1,25,0.1675687,0.5002353,0.3770276,0.05358014,1.146549,0.07096606,0.1675687,0.5002353,0.3770276
1,26,0.1000555,0.7612216,0.5935367,0.001218166,1.189364,0.0740715,0.1000555,0.7612216,0.5935367
1,27,0.06994772,1.09198,0.317061,0.006809083,1.215056,0.03063964,0.06994772,1.09198,0.317061
1,28,-0.05426383,0.5538993,0.5711524,-0.05435986,1.173751,0.1197076,-0.05426383,0.5538993,0.5711524
1,29,-0.04302484,1.065822,0.3992393,-0.03060775,1.209637,0.06407014,-0.04302484,1.065822,0.3992393
1,30,0.2607809,0.8910071,0.4553673,0.03529042,1.197501,0.03328802,0.2607809,0.8910071,0.4553673
1,31,-0.1566562,0.755613,0.3187536,-0.07175321,1.163372,0.03397864,-0.1566562,0.755613,0.3187536
1,32,-0.2420056,0.7740667,0.3076484,-0.1199139,1.164159,0.03036675,-0.2420056,0.7740667,0.3076484
1,33,-0.3423093,1.4484,0.4943168,-0.1209241,1.296147,-0.0390721,-0.3423093,1.4484,0.4943168
1,34,0.1608189,1.491098,0.3270783,0.03185666,1.266857,-0.1077729,0.1608189,1.491098,0.3270783
1,35,-0.1211776,1.337379,0.4468639,-0.0302763,1.258665,-0.05178934,-0.1211776,1.337379,0.4468639
1,36,-0.3823588,0.8765,0.3184972,-0.1209547,1.190788,-0.003685301,-0.3823588,0.8765,0.3184972
1,37,0.02416795,0.9146569,0.5893834,0.003866971,1.209077,0.008860847,0.02416795,0.9146569,0.5893834
1,38,0.3064598,0.8869384,0.5351096,0.06400573,1.208131,-0.01729483,0.3064598,0.8869384,0.5351096
1,39,0.1488923,1.273831,0.5495722,0.02279431,1.250716,-0.03460125,0.1488923,1.273831,0.5495722
1,40,-0.1554757,1.33005,0.5221488,-0.0424784,1.266436,-0.01056081,-0.1554757,1.33005,0.5221488
1,41,-0.345653,1.404996,0.5931551,-0.1372616,1.302982,0.01485149,-0.345653,1.404996,0.5931551
1,42,-0.1839254,1.40303,0.4492599,-0.06470057,1.327036,0.08059178,-0.1839254,1.40303,0.4492599
1,43,0.4847562,1.008136,0.5904664,0.07624382,1.252233,-0.01264159,0.4847562,1.008136,0.5904664
1,44,-0.04738432,0.7327957,0.5963919,-0.04804686,1.21044,0.06833579,-0.04738432,0.7327957,0.5963919
1,45,-0.1684534,1.099733,0.3075963,-0.06842957,1.239068,0.0239371,-0.1684534,1.099733,0.3075963
1,46,0.2796184,0.7241759,0.3345498,0.09926373,1.176199,-0.03136485,0.2796184,0.7241759,0.3345498
1,47,0.0729478,0.9824628,0.3137866,0.01697811,1.198006,-0.007838461,0.0729478,0.9824628,0.3137866
1,48,-0.3221855,1.401472,0.3205746,-0.09191231,1.278225,-0.08800229,-0.3221855,1.401472,0.3205746
1,49,-0.435973,1.056836,0.5717716,-0.1315727,1.259239,-0.01275537,-0.435973,1.056836,0.5717716
1,50,0.387771,0.9182272,0.3768647,0.06720077,1.201142,-0.07357893,0.387771,0.9182272,0.3768647
2,51,-0.0510866,0.8125756,0.4189354,-0.02522357,1.194687,-0.03128393,-0.0510866,0.8125756,0.4189354
2,52,0.2669449,0.8420483,0.4855585,0.06088439,1.193278,-0.03293428,0.2669449,0.8420483,0.4855585
2,53,-0.2186433,0.9001366,0.5588532,-0.07032844,1.211425,0.02465472,-0.2186433,0.9001366,0.5588532
2,54,0.1863055,1.481231,0.5368158,0.01043356,1.275772,-0.0653145,0.1863055,1.481231,0.5368158
2,55,-0.4382225,1.351955,0.4235153,-0.1301744,1.280553,-0.03007198,-0.4382225,1.351955,0.4235153
2,56,0.4467834,0.9209087,0.596263,0.08760446,1.2098,-0.03377249,0.4467834,0.9209087,0.596263
2,57,0.4737718,1.111097,0.4482163,0.05499671,1.225827,-0.07630326,0.4737718,1.111097,0.4482163
2,58,-0.2975097,0.6815335,0.3468113,-0.1670752,1.146981,-0.01683942,-0.2975097,0.6815335,0.3468113
2,59,0.2336025,0.6645563,0.5016147,0.1043819,1.144384,0.06084,0.2336025,0.6645563,0.5016147
2,60,0.227819,1.320873,0.3314263,0.03632025,1.248748,-0.1045094,0.227819,1.320873,0.3314263
2,61,0.265852,1.3201,0.5625988,0.02569053,1.243519,-0.0840409,0.265852,1.3201,0.5625988
2,62,0.008265018,1.496214,0.5923778,-0.02848916,1.269845,-0.07972784,0.008265018,1.496214,0.5923778
2,63,-0.4734441,1.278387,0.3603913,-0.1230832,1.243219,-0.09991301,-0.4734441,1.278387,0.3603913
2,64,0.4902352,0.633077,0.5739759,0.2024621,1.163179,0.06865027,0.4902352,0.633077,0.5739759
2,65,0.492737,1.137011,0.3076382,0.08082311,1.21543,-0.1569279,0.492737,1.137011,0.3076382
2,66,-0.07335675,0.68478,0.5138998,-0.03186118,1.198002,-0.08629969,-0.07335675,0.68478,0.5138998
2,67,-0.194936,0.7848246,0.3489977,-0.05600454,1.192041,-0.07945919,-0.194936,0.7848246,0.3489977
2,68,-0.4531271,1.342357,0.5368852,-0.1750811,1.268961,-0.08161626,-0.4531271,1.342357,0.5368852
2,69,0.302604,0.9139347,0.3854675,0.08384369,1.184766,-0.1036053,0.302604,0.9139347,0.3854675
2,70,0.18069,1.391721,0.5893013,-0.004414123,1.288855,-0.005226512,0.18069,1.391721,0.5893013
2,71,0.3357673,0.7532053,0.5840916,0.09509544,1.197425,0.05675351,0.3357673,0.7532053,0.5840916
2,72,-0.3243468,1.167887,0.3492458,-0.1382168,1.253865,-0.01472132,-0.3243468,1.167887,0.3492458
2,73,0.3887604,1.441051,0.4382025,0.1339664,1.322661,0.06678892,0.3887604,1.441051,0.4382025
2,74,-0.3604163,1.306457,0.318691,-0.1600208,1.279999,-0.04658014,-0.3604163,1.306457,0.318691
2,75,-0.3893913,0.7437076,0.4633901,-0.2170114,1.177285,0.2279056,-0.3893913,0.7437076,0.4633901
2,76,0.297866,0.5139894,0.5701071,0.09172641,1.165542,0.1648999,0.297866,0.5139894,0.5701071
2,77,-0.2000327,1.293928,0.3087424,-0.08227649,1.282098,-0.04973062,-0.2000327,1.293928,0.3087424
2,78,0.0990864,0.6067615,0.3741871,-0.002236094,1.108911,0.1329482,0.0990864,0.6067615,0.3741871
2,79,-0.4436948,0.6892843,0.3923256,-0.1912247,1.164537,-0.00429097,-0.4436948,0.6892843,0.3923256
2,80,-0.1900434,0.9435011,0.4514378,-0.1002791,1.204586,0.1187208,-0.1900434,0.9435011,0.4514378
2,81,0.1652806,1.025321,0.5634491,0.05230485,1.232788,0.1756493,0.1652806,1.025321,0.5634491
2,82,0.2855636,1.393826,0.4301678,0.06461028,1.287379,0.005180738,0.2855636,1.393826,0.4301678
2,83,-0.1478279,1.14182,0.402587,-0.06975181,1.242702,0.05131891,-0.1478279,1.14182,0.402587
2,84,-0.2198218,1.440568,0.5856923,-0.07319692,1.333342,0.1077874,-0.2198218,1.440568,0.5856923
2,85,-0.4786929,1.426575,0.3730274,-0.1813484,1.281303,-0.07357952,-0.4786929,1.426575,0.3730274
2,86,0.1269004,1.472126,0.3892054,0.003551558,1.248423,-0.1211284,0.1269004,1.472126,0.3892054
2,87,-0.3286974,1.165974,0.5889542,-0.1322673,1.265571,0.06838232,-0.3286974,1.165974,0.5889542
2,88,0.2100716,1.147966,0.4315299,0.07083368,1.245492,0.04044696,0.2100716,1.147966,0.4315299
2,89,-0.1880583,0.8918151,0.3693329,-0.09545174,1.183129,0.09077825,-0.1880583,0.8918151,0.3693329
2,90,0.4657939,0.7555988,0.3316343,0.08569419,1.163299,-0.0794783,0.4657939,0.7555988,0.3316343
2,91,0.1912477,0.5257312,0.5836471,0.02611119,1.143004,0.05935346,0.1912477,0.5257312,0.5836471
2,92,-0.008996248,1.375487,0.4427121,-0.0001075454,1.23557,-0.1001083,-0.008996248,1.375487,0.4427121
2,93,-0.4617579,0.7853361,0.5728146,-0.1975309,1.158364,0.09678847,-0.4617579,0.7853361,0.5728146
2,94,0.2586038,0.6327495,0.4242386,0.1104204,1.107516,0.05685443,0.2586038,0.6327495,0.4242386
2,95,0.07220793,1.27571,0.4495852,0.008095868,1.222858,-0.07026771,0.07220793,1.27571,0.4495852
2,96,0.06473511,1.373738,0.477291,-0.001300436,1.228106,-0.07739881,0.06473511,1.373738,0.477291
2,97,0.2074516,0.5087533,0.3665822,0.05642151,1.112137,-0.02180961,0.2074516,0.5087533,0.3665822
2,98,0.02899057,1.042553,0.3002529,0.01138914,1.178923,-0.07775132,0.02899057,1.042553,0.3002529
2,99,0.159836,0.7940634,0.4701697,0.0218539,1.169607,-0.06445151,0.159836,0.7940634,0.4701697
2,100,-0.09228066,0.5256783,0.3693856,-0.05797129,1.111062,0.02666044,-0.09228066,0.5256783,0.3693856
3,101,0.1590922,1.497111,0.4737448,0.01130217,1.234095,-0.107374,0.1590922,1.497111,0.4737448
3,102,-0.3263202,0.6821183,0.4900263,-0.1094142,1.173927,-0.02386171,-0.3263202,0.6821183,0.4900263
3,103,-0.4452606,0.8723626,0.501724,-0.1408472,1.18486,-0.02071002,-0.4452606,0.8723626,0.501724
3,104,0.4009083,0.789597,0.4678416,0.1250207,1.154939,-0.0266702,0.4009083,0.789597,0.4678416
3,105,0.4842581,0.7395132,0.4876417,0.1340327,1.147044,0.004776983,0.4842581,0.7395132,0.4876417
3,106,0.1736298,0.7487851,0.3428344,0.0923718,1.129169,0.004002177,0.1736298,0.7487851,0.3428344
3,107,-0.2695094,1.224878,0.3416926,-0.0877938,1.2151,-0.060764,-0.2695094,1.224878,0.3416926
3,108,0.08700567,0.7469887,0.3613062,0.04337432,1.15655,-0.04739881,0.08700567,0.7469887,0.3613062
3,109,0.1710395,1.098722,0.5658733,0.03484984,1.191854,-0.05649879,0.1710395,1.098722,0.5658733
3,110,0.4108774,0.5015711,0.5180324,0.143995,1.081533,0.1101378,0.4108774,0.5015711,0.5180324
3,111,-0.1821201,0.9927135,0.3631497,-0.0549963,1.181041,-0.0438735,-0.1821201,0.9927135,0.3631497
3,112,0.2051497,0.9412906,0.3447177,0.04832533,1.174114,-0.05553883,0.2051497,0.9412906,0.3447177
3,113,0.08395636,1.229389,0.559006,-0.008472934,1.239621,0.01434747,0.08395636,1.229389,0.559006
3,114,0.1914425,1.422892,0.4060881,0.02602256,1.279765,-0.03046047,0.1914425,1.422892,0.4060881
3,115,-0.07528386,1.362405,0.5662413,-0.05023348,1.287631,0.02182148,-0.07528386,1.362405,0.5662413
3,116,0.3619432,1.301358,0.4723789,0.06542095,1.277659,0.007039176,0.3619432,1.301358,0.4723789
3,117,0.3984987,0.9480387,0.4209498,0.1111721,1.201585,0.01792368,0.3984987,0.9480387,0.4209498
3,118,0.3735976,0.7285798,0.513647,0.1194056,1.166925,0.04261721,0.3735976,0.7285798,0.513647
3,119,-0.003406525,0.8831136,0.4234883,-0.02674529,1.176943,0.04111895,-0.003406525,0.8831136,0.4234883
3,120,0.07246995,1.099143,0.4856137,-0.004613864,1.22142,0.04871071,0.07246995,1.099143,0.4856137
3,121,0.001032591,1.293126,0.3192822,-0.01109682,1.235635,-0.08225144,0.001032591,1.293126,0.3192822
3,122,-0.3987457,0.7344491,0.3128052,-0.2017053,1.134722,-0.01134254,-0.3987457,0.7344491,0.3128052
3,123,0.3808091,1.063845,0.304535,0.09301496,1.191357,-0.08332368,0.3808091,1.063845,0.304535
3,124,-0.1856409,1.286988,0.4348093,-0.0565164,1.224786,-0.07101293,-0.1856409,1.286988,0.4348093
3,125,0.417376,0.7242144,0.3822225,0.1018992,1.152198,-0.07819092,0.417376,0.7242144,0.3822225
3,126,0.4584379,1.354439,0.3696317,0.08141722,1.219905,-0.1535542,0.4584379,1.354439,0.3696317
