Round,Case,LocalTargetX,LocalTargetY,LocalTargetZ,HeadX,HeadY,HeadZ,TargetX,TargetY,TargetZ
1,1,0.05756903,0.795359,0.4113972,0.0006742999,1.165793,-0.04579399,0.05756903,0.795359,0.4113972
1,2,0.239874,0.5843031,0.3110042,0.03082679,1.150661,-0.04800832,0.239874,0.5843031,0.3110042
1,3,-0.3494038,0.8340034,0.4557413,-0.08454055,1.167106,0.01541185,-0.3494038,0.8340034,0.4557413
1,4,0.1443855,0.5056041,0.4664518,0.008991502,1.132494,0.04839862,0.1443855,0.5056041,0.4664518
1,5,-0.001274258,0.6223594,0.5433065,-0.02822702,1.1658,0.01466808,-0.001274258,0.6223594,0.5433065
1,6,0.05702847,1.346371,0.4651108,-0.02876522,1.198678,-0.06301459,0.05702847,1.346371,0.4651108
1,7,-0.4418463,0.9844905,0.4527673,-0.1154813,1.180344,0.003456345,-0.4418463,0.9844905,0.4527673
1,8,-0.2066328,1.428498,0.3246189,-0.06740218,1.219845,-0.06909432,-0.2066328,1.428498,0.3246189
1,9,-0.09992599,0.9795462,0.5935559,-0.05080552,1.175005,0.01084971,-0.09992599,0.9795462,0.5935559
1,10,0.2066203,1.081949,0.5621476,-0.01117377,1.176421,-0.004997593,0.2066203,1.081949,0.5621476
1,11,-0.4988991,0.8066064,0.4347144,-0.1445322,1.172998,0.03051949,-0.4988991,0.8066064,0.4347144
1,12,0.4509497,1.467274,0.4766782,0.07755483,1.247185,0.05783144,0.4509497,1.467274,0.4766782
1,13,0.2000545,1.026352,0.3187126,-0.0065605,1.164631,-0.05043549,0.2000545,1.026352,0.3187126
1,14,-0.2423699,0.5453301,0.3662552,-0.1162745,1.128017,0.01455927,-0.2423699,0.5453301,0.3662552
1,15,-0.4861073,0.5674475,0.4658848,-0.2110173,1.122643,0.1185375,-0.4861073,0.5674475,0.4658848
1,16,0.1438924,1.135655,0.5793551,-0.04013418,1.182287,-0.02637132,0.1438924,1.135655,0.5793551
1,17,-0.4489321,1.284346,0.3598546,-0.1613738,1.206145,-0.08110407,-0.4489321,1.284346,0.3598546
1,18,-0.1342949,0.906269,0.3621548,-0.07376755,1.157128,-0.03737437,-0.1342949,0.906269,0.3621548
1,19,0.3563045,0.5361013,0.4897287,0.0699342,1.137128,0.04663597,0.3563045,0.5361013,0.4897287
1,20,-0.3659789,0.9808365,0.5704857,-0.1441176,1.175641,0.04900905,-0.3659789,0.9808365,0.5704857
1,21,-0.161414,1.160528,0.3803215,-0.05319897,1.193926,-0.06509259,-0.161414,1.160528,0.3803215
1,22,-0.3774084,0.9558109,0.3044005,-0.1082913,1.170598,-0.04060245,-0.3774084,0.9558109,0.3044005
